square_feet,bathrooms,bedrooms,state,pets_allowed,fee,has_photo
1370.0,2.5,2.0,WA,Dogs,No,Thumbnail
851.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
850.0,1.0,2.0,NC,"Cats,Dogs",No,Thumbnail
1162.0,2.0,2.0,MD,"Cats,Dogs",No,Yes
1285.0,2.0,2.0,VA,"Cats,Dogs",No,Thumbnail
661.0,1.0,1.0,NC,"Cats,Dogs",No,Yes
738.0,1.0,1.0,NC,"Cats,Dogs",No,Thumbnail
603.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
836.0,1.0,2.0,MD,"Cats,Dogs",No,No
1400.0,2.0,3.0,AZ,"Cats,Dogs",No,Thumbnail
668.0,1.0,1.0,OH,"Cats,Dogs",No,Thumbnail
745.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
847.0,1.0,2.0,GA,"Cats,Dogs",No,Thumbnail
759.0,1.0,1.0,MD,"Cats,Dogs",No,Yes
692.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
783.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
782.0,2.0,2.0,CA,"Cats,Dogs",No,Thumbnail
900.0,2.0,2.0,PA,"Cats,Dogs",No,Yes
712.0,1.0,1.0,NC,"Cats,Dogs",No,Thumbnail
540.0,1.0,2.0,MN,"Cats,Dogs",No,Thumbnail
1122.0,2.0,2.0,NJ,Cats,No,Yes
926.0,1.0,2.0,MD,"Cats,Dogs",No,Yes
536.0,1.0,2.0,CA,"Cats,Dogs",No,Thumbnail
890.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
858.0,1.0,1.0,MD,"Cats,Dogs",No,Yes
795.0,1.0,1.0,CO,"Cats,Dogs",No,Thumbnail
527.0,1.0,1.0,UT,"Cats,Dogs",No,Yes
1187.0,2.0,2.0,AZ,"Cats,Dogs",No,Thumbnail
970.0,2.0,2.0,TX,"Cats,Dogs",No,Thumbnail
963.0,2.0,2.0,MA,"Cats,Dogs",No,Yes
856.0,1.0,1.0,CO,"Cats,Dogs",No,Thumbnail
736.0,1.0,1.0,NC,"Cats,Dogs",No,Thumbnail
665.0,1.0,1.0,OK,"Cats,Dogs",No,Thumbnail
901.0,1.0,1.0,MA,"Cats,Dogs",No,Thumbnail
749.0,1.0,1.0,SC,"Cats,Dogs",No,Yes
1007.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
960.0,1.0,1.0,VA,"Cats,Dogs",No,Thumbnail
749.0,1.0,1.0,IN,"Cats,Dogs",No,Thumbnail
1440.0,2.0,3.0,IN,"Cats,Dogs",No,Thumbnail
718.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
1141.0,2.0,2.0,VA,"Cats,Dogs",No,Thumbnail
1101.0,2.0,2.0,NE,"Cats,Dogs",No,Thumbnail
425.0,1.0,1.0,CO,"Cats,Dogs",No,Yes
892.0,1.0,2.0,KY,"Cats,Dogs",No,Thumbnail
438.0,1.0,2.0,CA,"Cats,Dogs",No,Yes
750.0,1.0,1.0,OH,"Cats,Dogs",No,Yes
1330.0,2.0,2.0,WY,"Cats,Dogs",No,Thumbnail
636.0,1.0,1.0,GA,"Cats,Dogs",No,Yes
464.0,1.0,1.0,CO,"Cats,Dogs",No,Yes
670.0,1.0,1.0,AZ,"Cats,Dogs",No,Yes
504.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
1097.0,2.0,2.0,VA,"Cats,Dogs",No,Thumbnail
730.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
518.0,1.0,2.0,CA,"Cats,Dogs",No,Thumbnail
1340.0,2.0,3.0,NC,"Cats,Dogs",No,Yes
554.0,1.0,2.0,NJ,"Cats,Dogs",No,Yes
750.0,1.0,1.0,CA,Cats,No,Yes
775.0,1.0,1.0,NV,"Cats,Dogs",No,Yes
1035.0,2.0,2.0,SC,"Cats,Dogs",No,Yes
1000.0,1.0,2.0,GA,"Cats,Dogs",No,Yes
897.0,1.0,2.0,NJ,Cats,No,Thumbnail
616.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
1600.0,2.0,3.0,NY,"Cats,Dogs",No,Thumbnail
1018.0,2.0,2.0,OH,"Cats,Dogs",No,Thumbnail
2500.0,2.0,4.0,GA,"Cats,Dogs",No,Thumbnail
1274.0,2.0,2.0,NC,"Cats,Dogs",No,Yes
775.0,1.0,1.0,MD,"Cats,Dogs",No,Thumbnail
1093.0,2.0,2.0,TX,"Cats,Dogs",No,No
997.0,2.0,2.0,TX,"Cats,Dogs",No,Thumbnail
956.0,2.0,2.0,WA,"Cats,Dogs",No,No
900.0,1.0,2.0,MI,"Cats,Dogs",No,Yes
550.0,1.0,1.0,WI,Cats,No,Thumbnail
2246.0,2.0,4.0,FL,"Cats,Dogs",No,Thumbnail
1334.0,2.0,2.0,MD,"Cats,Dogs",No,Yes
430.0,1.0,1.0,OH,"Cats,Dogs",No,Thumbnail
962.0,2.0,2.0,AZ,"Cats,Dogs",No,Yes
1080.0,2.0,2.0,NC,"Cats,Dogs",No,Yes
1231.0,1.0,3.0,VA,"Cats,Dogs",No,Thumbnail
1168.0,2.0,2.0,CA,"Cats,Dogs",No,Yes
785.0,1.0,2.0,IA,"Cats,Dogs",No,Yes
593.0,1.0,0.0,VA,"Cats,Dogs",No,Thumbnail
1112.0,2.0,2.0,TX,"Cats,Dogs",No,Yes
720.0,1.0,1.0,MO,"Cats,Dogs",No,Thumbnail
820.0,1.0,1.0,AZ,"Cats,Dogs",No,Thumbnail
631.0,1.0,1.0,GA,"Cats,Dogs",No,Yes
2225.0,2.0,5.0,OH,"Cats,Dogs",No,Thumbnail
630.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
1850.0,2.0,3.0,GA,"Cats,Dogs",No,Thumbnail
600.0,1.0,1.0,OH,"Cats,Dogs",No,No
1431.0,3.0,4.0,FL,"Cats,Dogs",No,Thumbnail
950.0,1.0,1.0,PA,"Cats,Dogs",No,Yes
667.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
406.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
830.0,1.0,2.0,NH,"Cats,Dogs",No,Thumbnail
715.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
1705.0,2.5,3.0,NC,"Cats,Dogs",No,Yes
1000.0,2.0,2.0,CA,"Cats,Dogs",No,Yes
979.0,2.0,2.0,LA,"Cats,Dogs",No,Yes
525.0,1.0,1.0,MA,Cats,No,Yes
810.0,1.0,1.0,CO,"Cats,Dogs",No,Yes
1555.0,1.5,3.0,OH,"Cats,Dogs",No,Yes
763.0,1.0,1.0,MD,"Cats,Dogs",No,Yes
1193.0,2.0,3.0,GA,"Cats,Dogs",No,Yes
900.0,1.0,2.0,NV,"Cats,Dogs",No,Yes
1068.0,2.0,2.0,CA,"Cats,Dogs",No,No
698.0,1.0,2.0,CO,"Cats,Dogs",No,Yes
1456.0,2.0,2.0,TX,"Cats,Dogs",No,Yes
823.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
630.0,1.0,1.0,CO,"Cats,Dogs",No,Thumbnail
830.0,1.0,1.0,VA,"Cats,Dogs",No,Thumbnail
676.0,2.0,2.0,NC,"Cats,Dogs",No,Thumbnail
1122.0,2.0,2.0,NJ,Cats,No,Thumbnail
738.0,1.0,1.0,NJ,"Cats,Dogs",No,Yes
750.0,1.0,1.0,GA,"Cats,Dogs",No,Yes
1560.0,2.0,3.0,VA,"Cats,Dogs",No,Yes
1076.0,2.0,2.0,VA,"Cats,Dogs",No,Thumbnail
740.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
1000.0,2.0,2.0,FL,"Cats,Dogs",No,Yes
1070.0,2.0,3.0,VA,"Cats,Dogs",No,Yes
1101.0,2.0,2.0,FL,"Cats,Dogs",No,Yes
1127.0,2.0,2.0,GA,"Cats,Dogs",No,Thumbnail
600.0,1.0,1.0,CA,"Cats,Dogs",No,No
837.0,1.0,1.0,GA,"Cats,Dogs",No,No
811.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
1190.0,2.0,2.0,MD,"Cats,Dogs",No,Yes
963.0,2.0,2.0,CA,"Cats,Dogs",No,Thumbnail
1238.0,2.0,2.0,OH,"Cats,Dogs",No,Yes
592.0,1.0,2.0,CO,Cats,No,Yes
795.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
1339.0,2.0,2.0,MA,"Cats,Dogs",No,Yes
1127.0,2.0,2.0,FL,"Cats,Dogs",No,Yes
748.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
511.0,1.0,2.0,NJ,"Cats,Dogs",No,Yes
645.0,1.0,1.0,FL,"Cats,Dogs",No,Thumbnail
1050.0,2.0,2.0,CO,"Cats,Dogs",No,No
880.0,1.0,1.0,FL,"Cats,Dogs",No,Thumbnail
1070.0,2.5,4.0,VA,"Cats,Dogs",No,Yes
951.0,2.0,2.0,TX,"Cats,Dogs",No,Thumbnail
563.0,1.0,0.0,CA,"Cats,Dogs",No,Yes
748.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
1045.0,2.0,2.0,NC,"Cats,Dogs",No,Yes
792.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
1134.0,2.0,2.0,AZ,"Cats,Dogs",No,Yes
1026.0,2.0,2.0,MI,"Cats,Dogs",No,Yes
745.0,1.0,1.0,NC,"Cats,Dogs",No,Thumbnail
905.0,1.0,1.0,VA,"Cats,Dogs",No,Thumbnail
743.0,1.0,2.0,NJ,"Cats,Dogs",No,Yes
1022.0,2.0,2.0,CA,"Cats,Dogs",No,Yes
1053.0,2.0,2.0,FL,"Cats,Dogs",No,No
1207.0,1.0,3.0,MA,"Cats,Dogs",Yes,Thumbnail
650.0,1.0,1.0,UT,"Cats,Dogs",No,Thumbnail
905.0,2.0,2.0,CA,Cats,No,Thumbnail
1142.0,2.0,2.0,CO,"Cats,Dogs",No,Yes
750.0,1.0,2.0,TN,"Cats,Dogs",No,Yes
801.0,1.0,1.0,TX,"Cats,Dogs",No,No
1036.0,2.0,2.0,NJ,"Cats,Dogs",No,No
540.0,1.0,1.0,FL,"Cats,Dogs",No,Yes
785.0,1.0,1.0,GA,"Cats,Dogs",No,Thumbnail
1173.0,2.0,2.0,FL,"Cats,Dogs",No,Thumbnail
780.0,1.0,1.0,MD,"Cats,Dogs",No,Yes
740.0,1.0,1.0,CO,"Cats,Dogs",No,Thumbnail
1073.0,2.0,2.0,TX,"Cats,Dogs",No,Yes
946.0,1.5,3.0,OK,"Cats,Dogs",No,Yes
1194.0,2.0,2.0,TX,"Cats,Dogs",No,Yes
1115.0,2.0,2.0,NC,"Cats,Dogs",No,Thumbnail
253.0,1.0,0.0,WA,"Cats,Dogs",No,Thumbnail
872.0,1.5,2.0,WA,"Cats,Dogs",No,Thumbnail
1165.0,2.0,2.0,CA,"Cats,Dogs",No,Yes
723.0,1.0,1.0,GA,"Cats,Dogs",No,Thumbnail
1048.0,2.0,2.0,FL,"Cats,Dogs",No,Yes
580.0,1.0,1.0,CO,"Cats,Dogs",No,Yes
1405.0,2.5,2.0,TX,"Cats,Dogs",No,Thumbnail
571.0,1.0,1.0,NJ,"Cats,Dogs",No,Yes
544.0,1.0,1.0,VA,"Cats,Dogs",No,Yes
509.0,1.0,1.0,PA,"Cats,Dogs",No,Yes
900.0,2.0,2.0,FL,"Cats,Dogs",No,Yes
757.0,1.0,1.0,VA,"Cats,Dogs",No,Thumbnail
1110.0,2.0,2.0,VA,"Cats,Dogs",No,Thumbnail
1038.0,2.0,2.0,NC,"Cats,Dogs",No,Yes
635.0,1.0,1.0,AZ,"Cats,Dogs",No,Thumbnail
735.0,1.0,1.0,GA,"Cats,Dogs",No,Yes
960.0,1.0,3.0,FL,"Cats,Dogs",No,Thumbnail
3144.0,3.0,4.0,TX,"Cats,Dogs",No,Yes
802.0,1.0,1.0,FL,"Cats,Dogs",No,Yes
665.0,1.0,1.0,WA,"Cats,Dogs",No,Yes
973.0,2.0,2.0,NV,"Cats,Dogs",No,Yes
1200.0,2.0,3.0,VA,"Cats,Dogs",No,Thumbnail
1182.0,2.0,3.0,SC,"Cats,Dogs",No,Yes
1700.0,3.0,5.0,HI,"Cats,Dogs",No,No
890.0,1.0,1.0,GA,"Cats,Dogs",No,Thumbnail
850.0,1.0,2.0,AZ,"Cats,Dogs",No,Thumbnail
588.0,1.0,1.0,NV,"Cats,Dogs",No,Yes
660.0,1.0,1.0,OH,Cats,No,Yes
811.0,1.0,1.0,AZ,"Cats,Dogs",No,Thumbnail
850.0,1.0,2.0,NJ,Cats,No,Yes
760.0,1.0,1.0,LA,"Cats,Dogs",No,Yes
675.0,1.0,1.0,WA,"Cats,Dogs",No,Thumbnail
968.0,2.0,2.0,MO,"Cats,Dogs",No,Yes
1297.0,2.0,2.0,LA,"Cats,Dogs",No,No
500.0,1.0,1.0,OH,"Cats,Dogs",No,Yes
705.0,1.0,1.0,FL,"Cats,Dogs",No,Thumbnail
480.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
1019.0,2.0,2.0,AZ,"Cats,Dogs",No,Yes
1160.0,2.0,2.0,MO,"Cats,Dogs",No,Yes
580.0,1.0,1.0,OH,"Cats,Dogs",No,Thumbnail
1050.0,2.0,2.0,GA,"Cats,Dogs",No,Yes
964.0,2.0,2.0,MD,"Cats,Dogs",No,No
980.0,1.0,2.0,MO,"Cats,Dogs",No,Thumbnail
943.0,1.5,3.0,MD,"Cats,Dogs",No,Yes
1026.0,2.0,2.0,GA,"Cats,Dogs",No,Yes
783.0,1.0,1.0,CO,"Cats,Dogs",No,Yes
1115.0,2.0,2.0,VA,"Cats,Dogs",No,Yes
1194.0,2.0,2.0,NC,"Cats,Dogs",No,Thumbnail
627.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
950.0,2.0,2.0,VA,"Cats,Dogs",No,Thumbnail
605.0,1.0,1.0,VA,Cats,No,Yes
950.0,1.0,1.0,MN,"Cats,Dogs",No,Yes
285.0,1.0,1.0,CO,"Cats,Dogs",No,Yes
1199.0,2.0,2.0,VA,"Cats,Dogs",No,Yes
670.0,1.0,1.0,VA,"Cats,Dogs",No,Yes
1275.0,2.0,3.0,OK,"Cats,Dogs",No,Yes
520.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
806.0,1.0,2.0,KS,"Cats,Dogs",No,Thumbnail
993.0,2.0,2.0,OH,"Cats,Dogs",No,Yes
1069.0,2.0,2.0,TX,"Cats,Dogs",No,Thumbnail
850.0,1.0,2.0,NH,"Cats,Dogs",No,No
665.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
1082.0,2.0,2.0,VA,"Cats,Dogs",No,No
650.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
724.0,1.0,1.0,VA,"Cats,Dogs",No,No
900.0,2.0,2.0,TN,"Cats,Dogs",No,Yes
720.0,1.0,1.0,CO,"Cats,Dogs",No,Thumbnail
1331.0,2.0,3.0,GA,"Cats,Dogs",No,Thumbnail
650.0,1.0,1.0,IL,"Cats,Dogs",No,Yes
738.0,1.0,1.0,NC,"Cats,Dogs",No,No
555.0,1.0,2.0,NJ,"Cats,Dogs",No,Yes
720.0,1.0,1.0,CO,"Cats,Dogs",No,Thumbnail
1913.0,2.0,4.0,AZ,"Cats,Dogs",No,Thumbnail
600.0,1.0,1.0,NC,"Cats,Dogs",No,Yes
730.0,1.0,1.0,NC,"Cats,Dogs",No,Thumbnail
1050.0,2.0,2.0,NC,"Cats,Dogs",No,Thumbnail
313.0,1.0,1.0,MO,"Cats,Dogs",No,Yes
1053.0,2.0,2.0,CA,"Cats,Dogs",No,Yes
767.0,1.0,1.0,NV,"Cats,Dogs",No,Yes
1125.0,2.0,2.0,FL,"Cats,Dogs",No,Yes
481.0,1.0,2.0,CO,"Cats,Dogs",No,Thumbnail
615.0,1.0,1.0,OR,"Cats,Dogs",No,Thumbnail
824.0,1.0,1.0,MN,"Cats,Dogs",No,Yes
1018.0,2.0,2.0,CA,"Cats,Dogs",No,Yes
832.0,1.0,1.0,VA,"Cats,Dogs",No,No
650.0,1.0,1.0,ID,"Cats,Dogs",No,Thumbnail
1023.0,1.0,2.0,MD,"Cats,Dogs",No,Thumbnail
764.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
700.0,1.0,1.0,CA,"Cats,Dogs",No,Thumbnail
751.0,1.0,1.0,KS,"Cats,Dogs",No,Thumbnail
710.0,1.0,1.0,TX,"Cats,Dogs",No,No
720.0,1.0,1.0,WI,"Cats,Dogs",No,Yes
859.0,1.0,1.0,SC,"Cats,Dogs",No,Yes
713.0,1.0,1.0,CO,Cats,No,Yes
959.0,1.0,1.0,NJ,"Cats,Dogs",No,Yes
975.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
910.0,1.0,2.0,NC,"Cats,Dogs",No,Yes
1100.0,3.0,3.0,NY,Cats,No,Yes
800.0,1.0,2.0,IA,"Cats,Dogs",No,Yes
700.0,1.0,1.0,NE,"Cats,Dogs",No,No
525.0,1.0,1.0,CT,"Cats,Dogs",No,Yes
1173.0,2.0,2.0,MD,"Cats,Dogs",No,Thumbnail
1233.0,2.0,2.0,GA,"Cats,Dogs",No,Yes
1191.0,2.0,2.0,MA,"Cats,Dogs",No,Thumbnail
950.0,2.0,2.0,FL,"Cats,Dogs",No,No
1213.0,2.0,3.0,WA,"Cats,Dogs",No,No
1053.0,2.0,2.0,OH,"Cats,Dogs",No,Yes
1066.0,2.0,2.0,NE,Cats,No,Thumbnail
1246.0,2.0,2.0,GA,"Cats,Dogs",No,Yes
486.0,1.0,1.0,CO,"Cats,Dogs",No,Thumbnail
562.0,1.0,3.0,CO,"Cats,Dogs",No,No
1582.0,2.0,3.0,TX,"Cats,Dogs",No,Thumbnail
1067.0,2.0,2.0,AZ,"Cats,Dogs",No,Yes
1192.0,2.0,2.0,MD,"Cats,Dogs",No,Yes
1240.0,2.0,2.0,GA,"Cats,Dogs",No,Yes
1080.0,2.0,2.0,VA,"Cats,Dogs",No,Yes
711.0,1.0,1.0,MD,"Cats,Dogs",No,Yes
850.0,1.0,1.0,GA,"Cats,Dogs",No,Yes
615.0,1.0,1.0,MA,"Cats,Dogs",No,Thumbnail
1088.0,1.0,2.0,TX,"Cats,Dogs",No,Thumbnail
1094.0,2.0,2.0,PA,"Cats,Dogs",No,Thumbnail
839.0,1.5,1.0,TX,"Cats,Dogs",No,Thumbnail
873.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
697.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
800.0,1.0,2.0,NJ,Cats,No,Yes
1559.0,2.0,3.0,TX,"Cats,Dogs",No,Thumbnail
1310.0,2.0,2.0,TX,"Cats,Dogs",No,No
995.0,1.0,1.0,NE,"Cats,Dogs",No,Thumbnail
2075.0,1.0,3.0,MD,"Cats,Dogs",No,Yes
640.0,1.0,1.0,TX,"Cats,Dogs",No,No
1363.0,2.0,3.0,MD,"Cats,Dogs",No,Yes
1050.0,2.0,2.0,NE,"Cats,Dogs",No,Yes
1020.0,2.0,2.0,CA,"Cats,Dogs",No,Yes
1319.0,2.0,3.0,WA,"Cats,Dogs",No,Yes
1193.0,2.0,2.0,TX,"Cats,Dogs",No,Thumbnail
705.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
1632.0,2.0,2.0,TX,Dogs,No,Thumbnail
1056.0,2.0,2.0,NV,"Cats,Dogs",No,Thumbnail
807.0,1.0,1.0,ID,"Cats,Dogs",No,Yes
1138.0,2.0,2.0,OH,Cats,No,Yes
1368.0,3.0,3.0,TX,"Cats,Dogs",No,Thumbnail
901.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
743.0,1.0,1.0,VA,"Cats,Dogs",No,Yes
1891.0,2.0,4.0,SC,"Cats,Dogs",No,Thumbnail
1022.0,2.0,2.0,VA,"Cats,Dogs",No,Yes
1162.0,2.0,2.0,GA,"Cats,Dogs",No,Yes
477.0,1.0,3.0,VA,"Cats,Dogs",No,Yes
1035.0,1.0,3.0,VA,"Cats,Dogs",No,Thumbnail
900.0,1.0,2.0,PA,"Cats,Dogs",No,Thumbnail
725.0,1.0,1.0,MN,"Cats,Dogs",No,Yes
1456.0,2.0,4.0,FL,"Cats,Dogs",No,Yes
1100.0,2.0,2.0,NC,"Cats,Dogs",No,Thumbnail
643.0,1.0,1.0,CO,"Cats,Dogs",No,Thumbnail
800.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
1231.0,2.0,2.0,NE,Cats,No,Yes
750.0,1.0,1.0,NV,"Cats,Dogs",No,Thumbnail
390.0,1.0,2.0,OK,"Cats,Dogs",No,Yes
1323.0,2.0,3.0,NC,"Cats,Dogs",No,Thumbnail
966.0,1.0,1.0,VA,Cats,No,Yes
641.0,1.0,2.0,MA,"Cats,Dogs",No,Yes
1027.0,1.0,2.0,PA,Cats,No,Thumbnail
1215.0,2.0,2.0,MD,"Cats,Dogs",No,Yes
1100.0,1.0,2.0,MA,Cats,No,No
670.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
970.0,2.0,2.0,MN,"Cats,Dogs",No,Yes
781.0,1.0,1.0,CA,"Cats,Dogs",No,Yes
967.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
950.0,2.0,2.0,VA,"Cats,Dogs",No,Yes
1375.0,2.0,2.0,VA,"Cats,Dogs",No,Yes
741.0,1.0,1.0,VA,"Cats,Dogs",No,Yes
1198.0,2.0,2.0,CA,"Cats,Dogs",No,Yes
1084.0,2.0,2.0,MD,"Cats,Dogs",No,Yes
700.0,1.0,1.0,IL,"Cats,Dogs",No,Yes
800.0,1.0,1.0,MA,"Cats,Dogs",No,Yes
550.0,1.0,1.0,CO,"Cats,Dogs",No,Thumbnail
1099.0,2.0,2.0,NC,"Cats,Dogs",No,Thumbnail
781.0,1.0,1.0,VA,"Cats,Dogs",No,Thumbnail
500.0,1.0,1.0,TN,"Cats,Dogs",No,Yes
1225.0,1.5,2.0,VA,"Cats,Dogs",No,Yes
525.0,1.0,1.0,NE,"Cats,Dogs",No,Thumbnail
718.0,1.0,1.0,NJ,"Cats,Dogs",No,Yes
832.0,1.0,2.0,NJ,"Cats,Dogs",No,Yes
870.0,2.0,2.0,CO,"Cats,Dogs",No,Thumbnail
1096.0,2.0,2.0,CA,"Cats,Dogs",No,Yes
784.0,1.0,1.0,VA,"Cats,Dogs",No,Yes
1288.0,2.0,2.0,AR,"Cats,Dogs",No,Yes
1100.0,1.0,2.0,IL,"Cats,Dogs",No,Yes
800.0,1.0,2.0,TX,"Cats,Dogs",No,Yes
975.0,1.0,2.0,MO,"Cats,Dogs",No,Thumbnail
628.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
850.0,1.0,1.0,MA,"Cats,Dogs",No,Thumbnail
805.0,1.0,2.0,CO,"Cats,Dogs",No,Thumbnail
1471.0,2.0,2.0,CA,"Cats,Dogs",No,Thumbnail
788.0,1.0,1.0,FL,"Cats,Dogs",No,Yes
1151.0,2.0,2.0,GA,"Cats,Dogs",No,Yes
700.0,1.0,1.0,WA,"Cats,Dogs",No,No
1618.0,2.0,3.0,CA,"Cats,Dogs",No,Yes
1077.0,2.0,2.0,MD,"Cats,Dogs",No,Yes
1397.0,2.0,2.0,TX,"Cats,Dogs",No,Yes
1133.0,2.0,2.0,WA,"Cats,Dogs",No,Thumbnail
476.0,1.0,1.0,VA,"Cats,Dogs",No,Yes
1013.0,2.0,3.0,OK,"Cats,Dogs",No,Yes
880.0,1.0,2.0,NJ,"Cats,Dogs",No,Yes
741.0,1.0,1.0,NJ,"Cats,Dogs",No,Thumbnail
762.0,1.0,1.0,VA,"Cats,Dogs",No,Thumbnail
1018.0,2.0,2.0,UT,"Cats,Dogs",No,Yes
800.0,1.0,1.0,VA,"Cats,Dogs",No,Yes
1096.0,2.0,2.0,CA,"Cats,Dogs",No,Yes
705.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
957.0,2.0,2.0,NC,"Cats,Dogs",No,Yes
924.0,1.0,2.0,OH,"Cats,Dogs",No,Thumbnail
1122.0,2.0,2.0,TN,"Cats,Dogs",No,Yes
836.0,1.0,2.0,MA,"Cats,Dogs",No,Yes
736.0,1.0,1.0,GA,"Cats,Dogs",No,Thumbnail
665.0,1.0,1.0,VA,"Cats,Dogs",No,Thumbnail
960.0,2.0,2.0,NV,"Cats,Dogs",No,Yes
800.0,2.0,2.0,TX,"Cats,Dogs",No,Thumbnail
1172.0,2.0,2.0,VA,"Cats,Dogs",No,Thumbnail
1338.0,2.0,2.0,SC,"Cats,Dogs",No,Yes
1000.0,2.0,3.0,CA,Cats,No,Yes
880.0,1.0,1.0,VA,"Cats,Dogs",No,Yes
1105.0,1.0,2.0,TN,"Cats,Dogs",No,Yes
870.0,1.5,1.0,OH,"Cats,Dogs",No,Yes
